ProductCode,LongDescription,ManufacturerName,BrandName,VoltageRating,WeightKg
PRD-ENG-101,Baldor-Reliance Severe Duty Foot Mounted AC Motor 20 HP,Baldor-Reliance,Baldor-Reliance,460 V AC,142.5
PRD-ENG-102,Mitsubishi Electric MELSEC iQ-R Series High Speed Process CPU,Mitsubishi Electric,Mitsubishi Electric,24 V DC,1.8
PRD-ENG-103,KSB Meganorm Single-Stage Volute Casing Pump with Motor,KSB,KSB,400 V 3-Phase,86.0
PRD-ENG-104,Samson Type 3241 Globe Control Valve with Pneumatic Actuator,Samson,Samson,N/A,34.2
PRD-ENG-105,Yokogawa DPharp EJA110E Differential Pressure Transmitter,Yokogawa,Yokogawa,24 V DC,4.6
PRD-ENG-106,FAG Schaeffler Spherical Roller Bearing 22218-E1-K,FAG Schaeffler,FAG Schaeffler,N/A,3.4
PRD-ENG-107,Ingersoll Rand R-Series 55 kW Fixed Speed Rotary Screw Compressor,Ingersoll Rand,Ingersoll Rand,400 V,1120.0
PRD-ENG-108,Pepperl+Fuchs K-System Isolated Barrier Switch Amplifier,Pepperl+Fuchs,Pepperl+Fuchs,24 V DC,0.35
PRD-ENG-109,Huawei FusionPower Smart Modular Data Center UPS 5000-E,Huawei Digital Power,Huawei Digital Power,380-415 V,450.0
PRD-ENG-110,Honeywell Analytics Sensepoint XCD Flammable Gas Detector,Honeywell Analytics,Honeywell Analytics,24 V DC,2.2
