product_id,product_name,brand,category,subcategory,model_number,description,price,currency,voltage,power,frequency,rpm,weight,dimensions,material,ip_rating,warranty,manufacturer,country,supplier,source,technical_document,product_url
PID-10000,SEW-Eurodrive Three-Phase Induction Motor SEW-MTR-125,SEW-Eurodrive,Industrial Motors,Three-Phase Induction Motor,SEW-MTR-125,REDUNDANT RECORD: SEW-Eurodrive SEW-MTR-125 Industrial Motors Three-Phase Induction Motor. Contact supplier Nordic Machinery Hub for spec sheet.,4245.92,USD,380-415 V,20 HP,50 Hz,3000 RPM,349.2 lbs,649 x 430 x 351 mm,Ductile Iron,ip55,24 months,SEW-Eurodrive,Switzerland,Nordic Machinery Hub,Supplier Price File 2024,https://docs.productiq-assets.com/specs/sew-eurodrive/sew-mtr-125.pdf,https://www.industrial-supply-direct.com/item/sew-mtr-125
PID-10001,Xylem Centrifugal Pump XYL-PMP-792,Xylem,Pumps,Centrifugal Pump,XYL-PMP-792,REDUNDANT RECORD: Xylem XYL-PMP-792 Pumps Centrifugal Pump. Contact supplier Precision Parts Direct for spec sheet.,1745.33,EUR,380 V 3-Phase,5 HP,60 Hz,1450 RPM,311.5 g,"40.0"" x 4.6"" x 7.7""",Bronze,IP66,5 Years,Xylem,Japan,Precision Parts Direct,OEM Technical Data Sheet,https://docs.productiq-assets.com/specs/xylem/xyl-pmp-792.pdf,https://www.industrial-supply-direct.com/item/xyl-pmp-792
PID-10002,Velan High Performance Pneumatic Ball Valve VEL-VLV-130,Velan,Valves,Pneumatic Ball Valve,VEL-VLV-130,REDUNDANT RECORD: Velan VEL-VLV-130 Valves Pneumatic Ball Valve. Contact supplier Precision Parts Direct for spec sheet.,4419.33,EUR,230 V AC,,50 Hz,N/A,266.3 kilograms,67.9x20.2x29.8 cm,Forged Steel A105,IP65,2 Years,Velan,Germany,Precision Parts Direct,ERP Master Data,https://docs.productiq-assets.com/specs/velan/vel-vlv-130.pdf,invalid-url-item
PID-10003,Sick Pressure Transmitter SIC-SNS-674,Sick,Sensors,Pressure Transmitter,SIC-SNS-674,"Sick Pressure Transmitter SIC-SNS-674 offers industry leading performance, low vibration levels, and optimized lifecycle costs. Complies with ISO 9001 and CE directives.",7848.19,€,24 V DC,,N/A,N/A,222.6 LBS,20.9x25.5x25.2 cm,Titanium,ip67,12 Months,Sick,United States,Continental Drive Systems,OEM Technical Data Sheet,https://docs.productiq-assets.com/specs/sick/sic-sns-674.pdf,https://www.industrial-supply-direct.com/item/sic-sns-674
PID-10004,TIMKEN PILLOW BLOCK BEARING TIM-BRG-384,Timken,Bearings,Pillow Block Bearing,TIM-BRG-384,<div><p>Industrial Bearings - TIM-BRG-384</p><span>Manufacturer: Timken</span><br>Standard spec with warranty: 12 Months</div>,12960.86,EUR,N/A,N/A,N/A,3200 RPM,80.3 kg,93.6x56.1x80.5 cm,Ceramic Hybrid,N/A,12 Months,Timken,Japan,Precision Parts Direct,OEM Technical Data Sheet,https://docs.productiq-assets.com/specs/timken/tim-brg-384.pdf,https://www.industrial-supply-direct.com/item/tim-brg-384
PID-10005,kaeser Centrifugal Turbo Compressor KAE-CMP-259,Kaeser,Compressors,Centrifugal Turbo Compressor,KAE-CMP-259,"kaeser Centrifugal Turbo Compressor KAE-CMP-259 offers industry leading performance, low vibration levels, and optimized lifecycle costs. Complies with ISO 9001 and CE directives.",2025.56,USD,460 V 60Hz,110 kW,50 Hz,3000 rpm,337.7 LBS,"39.3"" x 8.9"" x 22.8""",Acoustic Enclosure,IP54,24 months,Kaeser,China,Nordic Machinery Hub,Vendor Portal Upload,,invalid-url-item
PID-10006,Mitsubishi Electric Programmable Logic Controller (PLC) MIT-CTL-467 (22 kW),Mitsubishi Electric,Control Systems,Programmable Logic Controller (PLC),MIT-CTL-467,"Compact and durable Programmable Logic Controller (PLC) with 1.5 kW rating, rated for 24vdc networks.",11228.37,€,24vdc,1.5 kW,50/60 Hz,N/A,436.2 lbs,782x428x786mm,Polycarbonate / Aluminum,IP20,24 months,Mitsubishi Electric,United Kingdom,TechFlow Solutions,Supplier Price File 2024,https://docs.productiq-assets.com/specs/mitsubishi_electric/mit-ctl-467.pdf,https://www.industrial-supply-direct.com/item/mit-ctl-467
PID-10007,Schneider Electric SCH-ELC-649 - Industrial Transformer,schneider electric,Electrical Components,Industrial Transformer,SCH ELC 649,REDUNDANT RECORD: schneider electric SCH ELC 649 Electrical Components Industrial Transformer. Contact supplier TechFlow Solutions for spec sheet.,1595.98,USD,11 kV,N/A,50 Hz,N/A,61.1 kg.,L:1092 W:224 H:129,DMC Polyester Glass,IP30,,schneider electric,Sweden,TechFlow Solutions,OEM Technical Data Sheet,,https://www.industrial-supply-direct.com/item/sch elc 649
PID-10008,EUCHNER INTERLOCK SWITCH EUC-SFT-982,Euchner,Safety Equipment,Interlock Switch,EUC-SFT-982,<div><p>Industrial Safety Equipment - EUC-SFT-982</p><span>Manufacturer: Euchner</span><br>Standard spec with warranty: 24 months</div>,14491.88,USD,24VDC,15 W,50/60 Hz,N/A,229.9 KG,L:665 W:524 H:448,Flameproof Aluminum,Ex d IIC T6,24 months,Euchner,Japan,Precision Parts Direct,Distributor Catalog EU,https://docs.productiq-assets.com/specs/euchner/euc-sft-982.pdf,https://www.industrial-supply-direct.com/item/euc-sft-982
PID-10009,caterpillar Online Double-Conversion UPS CAT-PWR-891,Caterpillar,Power Equipment,Online Double-Conversion UPS,CAT-PWR-891,REDUNDANT RECORD: Caterpillar CAT-PWR-891 Power Equipment Online Double-Conversion UPS. Contact supplier Continental Drive Systems for spec sheet.,15845.08,€,400 V 3-Phase,1000 kVA,50/60 Hz,N/A,22.0 g,880x495x779mm,Acoustic Heavy Steel,IP20,1 Year Standard,Caterpillar,Sweden,Continental Drive Systems,Distributor Catalog EU,https://docs.productiq-assets.com/specs/caterpillar/cat-pwr-891.pdf,https://www.industrial-supply-direct.com/item/cat-pwr-891
PID-10010,ABB Servo Motor ABB-MTR-384 (7.5KW),abb,Industrial Motors,Servo Motor,ABB-MTR-384,"Compact and durable Servo Motor with 15000 W rating, rated for 230/400V networks.",3134.7,€,230/400V,15000 W,50Hz,1450 RPM,429.5 g,1099x654x136mm,Stainless Steel,,5 Years,abb,Japan,Global Electro Corp,Field Engineering Audit,,https://www.industrial-supply-direct.com/item/abb-mtr-384
PID-10011,flowserve Submersible Slurry Pump FLO-PMP-786,Flowserve,Pumps,Submersible Slurry Pump,FLO-PMP-786,<div><p>Industrial Pumps - FLO-PMP-786</p><span>Manufacturer: Flowserve</span><br>Standard spec with warranty: 24 months</div>,19054.66,GBP,230 V,11 kW,60 Hz,1450 RPM,173.7 g,"15.5"" x 13.3"" x 22.5""",Duplex Steel,IP66,24 months,Flowserve,Germany,Nordic Machinery Hub,Field Engineering Audit,https://docs.productiq-assets.com/specs/flowserve/flo-pmp-786.pdf,https://www.industrial-supply-direct.com/item/flo-pmp-786
PID-10012,Kitz Pneumatic Ball Valve KIT-VLV-723 (50 W),Kitz,Valves,Pneumatic Ball Valve,KIT-VLV-723,"*** KITZ SPECIAL PROMO *** Model KIT-VLV-723. High reliability, certified quality. Suitable for power, water, oil&gas applications. Order now.",13529.48,,None,,60 Hz,N/A,373.9 lbs,20.0x72.0x86.3 cm,Hastelloy C,IP66,,Kitz,Finland,TechFlow Solutions,OEM Technical Data Sheet,https://docs.productiq-assets.com/specs/kitz/kit-vlv-723.pdf,https://www.industrial-supply-direct.com/item/kit-vlv-723
