SKU,Item_Name,Maker,Supplier,Price
SKU-9901,Nidec Leroy-Somer High Efficiency AC Motor,Nidec,Nordic Machinery Hub,3450.00
SKU-9902,Schneider Electric Modicon M580 Ethernet PAC,Schneider Electric,TechFlow Solutions,2890.50
SKU-9903,Grundfos CR 15-3 Vertical Multistage Centrifugal Pump,Grundfos,Precision Parts Direct,1980.00
SKU-9904,Emerson Fisher ED Control Valve with 657 Actuator,Emerson Fisher,Continental Drive Systems,4520.00
SKU-9905,Endress+Hauser Proline Promass 83F Coriolis Flowmeter,Endress+Hauser,Global Electro Corp,6840.00
SKU-9906,SKF Explorer Deep Groove Ball Bearing 6312-2RS1,SKF,Precision Parts Direct,145.20
SKU-9907,Atlas Copco GA 37+ VSD Oil-Injected Screw Compressor,Atlas Copco,TechFlow Solutions,12850.00
SKU-9908,Pilz PNOZ s4 Safety Relay 24VDC 3 n/o 1 n/c,Pilz,Nordic Machinery Hub,320.00
SKU-9909,Vertiv Liebert EXS 30kVA Integrated UPS System,Vertiv Liebert,Continental Drive Systems,18900.00
SKU-9910,Banner Engineering Q4X Laser Distance Sensor,Banner Engineering,Global Electro Corp,485.00
