Mfg_Part_Num,Part_Desc,E1_Brand,Part_Manuf
ABB-MTR-384,Three-Phase Heavy Duty Induction Motor 15kW 400V IP55,ABB,ABB
SIM-PLC-900,SIMATIC S7-1500 Modular Programmable Logic Controller CPU 1516-3,Siemens,Siemens
WEG-W22-120,WEG W22 High Efficiency Electric Motor 7.5 kW 400/690V,WEG,WEG
XYL-PMP-792,Stainless Steel Submersible Slurry Pump 11kW 1450 RPM,Xylem,Xylem
VEL-VLV-130,High Performance Pneumatic Ball Valve ANSI 150 DN50,Velan,Velan
SIC-SNS-674,Optoelectronic Industrial Distance Sensor 24V DC IP67,Sick,Sick
TIM-BRG-384,Heavy Duty Spherical Roller Bearing 80mm Bore,Timken,Timken
KAE-CMP-259,Rotary Screw Air Compressor 45kW 8.5 bar,Kaeser,Kaeser
EUC-SFT-982,Safety Interlock Guard Locking Switch 24V Ex d,Euchner,Euchner
FLO-PMP-786,Centrifugal Chemical Process Pump Cast Iron GG25,Flowserve,Flowserve
